DateTime,Entries,UniqueIPs
1433683022,351,351
1433769422,342,342
1433855822,338,338
1433942222,313,313
1434028622,276,276
1434115022,238,238
1434201422,170,170
1434201422,170,170
1434287822,151,151
1434287822,151,151
1434287822,151,151
1434287822,151,151
1434287822,151,151
1434287822,151,151
1434374222,94,94
1434460622,31,31
1434633421,31,31
1434633421,31,31
1435065423,32,32
1435238222,33,33
1437052622,142,142
1437139022,220,220
1437225422,242,242
1437311822,366,366
1437398222,470,470
1437484622,504,504
1437571023,570,570
1437657425,606,606
1437743823,607,607
1437830225,611,611
1437916623,613,613
1438003023,614,614
1438175822,615,615
1438262223,599,599
1438521425,600,600
1438780622,603,603
1438953423,599,599
1439126222,599,599
1439126222,599,599
1439126222,599,599
1439212623,599,599
1439299023,601,601
1439385427,602,602
1439558226,596,596
1439644623,580,580
1439644623,580,580
1439731022,533,533
1439817423,507,507
1439903823,441,441
1439990222,281,281
1440076623,225,225
1440076623,225,225
1440163023,143,143
1440249422,58,58
1440335822,56,56
1440595023,55,55
1440595023,55,55
1440681422,54,54
1441027023,53,53
1441199823,51,51
1441286222,50,50
1441372622,47,47
1441459022,46,46
1441545422,45,45
1441631822,44,44
1441718225,42,42
1441804623,108,108
1441891024,160,160
1441977423,198,198
1442063827,236,236
1442150223,268,268
1442236623,291,291
1442323023,309,309
1442409422,352,352
1442495823,397,397
1442582223,448,448
1442668623,485,485
1442755023,493,493
1442841423,497,497
1442927823,503,503
1443014223,505,505
1443100623,513,513
1443187023,518,518
1443273423,520,520
1443359823,521,521
1443446223,525,525
1443532623,528,528
1443619024,531,531
1443705423,535,535
1443791823,537,537
1443878224,543,543
1443964623,544,544
1444051024,546,546
1444396624,534,534
1444483024,505,505
1444569423,462,462
1444655824,415,415
1444742223,374,374
1444828628,341,341
1444915026,324,324
1445001425,289,289
1445087824,244,244
1445174223,176,176
1445260624,121,121
1445347023,117,117
1445433423,146,146
1445519823,142,142
1445606224,138,138
1445692624,136,136
1445779024,131,131
1445865423,129,129
1445951823,127,127
1446038224,122,122
1446124624,115,115
1446211023,111,111
1446297424,103,103
1446387424,97,97
1446473823,90,90
1446560223,82,82
1446646624,45,45
1446905824,39,39
1446992224,55,55
1447078623,76,76
1447165023,105,105
1447251424,137,137
1447337824,180,180
1447424224,216,216
1447510624,247,247
1447597024,269,269
1447683423,295,295
1447769823,337,337
1447856224,375,375
