DateTime,AddedIPs,RemovedIPs
1434753933,300,89
1434840872,159,81
1434927621,60,120
1435014591,146,134
1435101506,290,154
1435188458,190,92
1435275407,83,111
1435362324,65,159
1435449258,60,253
1435536010,82,82
1435622974,98,95
1435709937,77,70
1435796830,228,102
1435883787,136,415
1435970712,97,510
1436057729,63,203
1436144436,63,62
1436231712,40,74
1436318299,68,107
1436405233,299,110
1436492186,214,268
1436613825,85,182
1436700429,67,86
1436787425,183,929
1436874315,520,268
1436961260,319,138
1437048020,250,113
1437134998,129,67
1437221988,42,160
1437308836,53,408
1437395797,77,444
1437482720,105,74
1437569663,61,110
1437660995,112,493
1437748079,374,274
1437835028,133,186
1437921914,83,55
1438008856,120,57
1438095652,183,62
1438182592,211,119
1438269506,418,85
1438356437,212,269
1438443395,220,123
1438530328,88,76
1438617287,84,73
1438704017,183,60
1438790975,299,83
1438948755,342,155
1439036063,287,445
1439123582,96,143
1439210192,75,30
1439297143,292,60
1439384063,175,224
1439470827,95,392
1439557782,322,462
1439644797,145,121
1439731655,79,98
1439818592,75,44
1439905563,168,57
1439992091,134,68
1440079232,99,68
1440166740,82,66
1440254228,59,139
1440341360,72,309
1440428441,91,129
1440515912,260,68
1440603393,267,104
1440690960,301,141
1440778232,146,198
1440865686,57,416
1440953159,73,209
1441041136,76,197
1441128446,64,86
1441215566,60,117
1441302872,89,270
1441390185,185,292
1441477297,65,230
1441564722,68,209
1441652093,260,214
1441739406,263,61
1441826937,211,215
1441914371,125,208
1442003317,79,182
1442090749,69,246
1442178063,78,345
1442265520,76,135
1442352726,128,91
1442440304,96,161
1442527398,80,225
1442614823,100,245
1442701838,81,104
1442789151,78,107
1442876489,69,50
1442963944,97,102
1443050950,91,231
1443138357,83,230
1443225391,56,452
1443312597,79,609
1443400104,72,158
1443487591,64,66
1443574855,49,86
1443661940,143,87
1443749334,61,57
1443836860,144,95
1443924349,104,73
1444011880,76,65
1444099328,154,54
1444186512,76,344
1444273847,89,391
1444361280,83,258
1444448786,60,136
1444536037,74,192
1444623543,65,89
1444711069,253,77
1444798514,140,60
1444885808,58,129
1444973278,63,168
1445060765,107,80
1445148097,64,63
1445244815,79,137
1445332177,78,60
1445419701,71,74
1445507146,101,67
1445594556,151,79
1445681969,88,103
1445769518,83,76
1445856896,79,122
1445944210,72,66
1446031685,68,72
1446119304,74,91
1446206433,165,108
1446293950,85,382
1446381429,92,125
1446470676,90,117
1446557834,104,82
1446645360,545,96
1446733516,656,191
1446824327,266,64
1446911366,180,133
1446998585,76,90
1447086015,71,73
1447173431,357,78
1447260885,84,170
1447348180,62,132
1447435695,67,61
1447523152,70,160
1447610443,74,71
1447697946,57,72
1447785416,59,58
1447872980,67,66
